"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2021512_1","X2021512_10","X2021512_100","X2021512_101","X2021512_102","X2021512_103","X2021512_123","X2021512_124","X2021512_125","X2021512_126","X2021512_127","X2021512_128","X2021512_129","X2021512_130","X2021512_131","X2021512_132","X2021512_133","X2021512_155","X2021512_156","X2021512_157","X2021512_158","X2021512_159","X2021512_160","X2021512_161","X2021512_163","X2021512_164","X2021512_165","X2021512_2","X2021512_3","X2021512_32","X2021512_33","X2021512_34","X2021512_35","X2021512_36","X2021512_37","X2021512_38","X2021512_39","X2021512_4","X2021512_40","X2021512_44","X2021512_45","X2021512_46","X2021512_47","X2021512_48","X2021512_49","X2021512_5","X2021512_50","X2021512_51","X2021512_52","X2021512_54","X2021512_6","X2021512_65","X2021512_66","X2021512_67","X2021512_68","X2021512_69","X2021512_70","X2021512_71","X2021512_72","X2021512_73","X2021512_8","X2021512_9","X2021512_95","X2021512_96","X2021512_97","X2021512_98","X2021512_99","X2022624_102","X2022624_110","X2022624_125","X2022624_129","X2022624_130","X2022624_138","X2022624_22","X2022624_29","X2022624_30","X2022624_33","X2022624_41","X2022624_46","X2022624_51","X2022624_60","X2022624_84","X2022624_85","X2022624_86","X2022624_87","X2022624_88","X2022624_89","X2022624_90","X2022624_91","X2022624_92","X2022624_94","X2022624_97","X2022624_99","X2022624_LB23062023","NTC_NL","PC_NL"
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Lumpenus","Lumpenus lampretaeformis","GG01_002285347",0.947,0.935672514619883,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,6,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas spp.","GG01_001927395",0.958,0.952662721893491,1923983,58047,3393,30019,22857,21120,1160,44951,3520,0,2393,0,6875,0,28418,0,1,0,31188,2,20981,86257,1,1444,7174,0,61424,65994,58176,0,66131,56305,56294,28186,43784,1,0,0,2,64107,98801,0,8505,0,1,0,4265,4566,4216,0,1,6995,0,74213,0,68757,2213,0,0,5972,62118,54550,44137,0,62030,0,2457,0,0,0,0,2189,0,185958,14,28361,1,192195,0,18,10326,5,2658,0,34254,0,34773,0,0,2,18181,6,0,0,0,13,41027
"Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas spp.","GG01_002829028",0.878612716763006,0.878612716763006,65,1,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,4,0,1,2,0,0,0,0,6,1,0,0,6,0,1,5,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus scorpius","GG01_000706312",0.965,0.964705882352941,403016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,44927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76999,0,0,3,0,0,0,0,0,0,0,0,0,0,7643,0,0,20756,0,0,0,0,0,0,0,1,0,22473,0,0,0,0,23,0,189745,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40432
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Artediellus|Icelus","Artediellus atlanticus|Icelus cataphractus|Icelus spatula","GG01_002057605",1,1,18556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18556,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Taurulus","Taurulus bubalis","GG01_003661693",1,0.988095238095238,30260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cyclopteridae","Cyclopterus","Cyclopterus lumpus","GG01_000652805",1,1,354592,0,0,0,0,0,0,0,26270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20978,0,33925,0,0,85859,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22597,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,164934,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Animalia","Chordata","Teleostei","Gasterosteiformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","GG01_000652083",1,1,2307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Liparidae","Liparis","Liparis montagui","GG01_002649140",1,0.970414201183432,17029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17027,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes spp.","GG01_000550564",0.946745562130177,0.946745562130177,449963,0,3729,24246,0,0,0,20590,0,0,10840,0,0,0,0,0,0,0,2,0,0,35862,0,0,0,0,0,0,0,0,0,0,0,0,12345,0,20981,1,0,0,0,7565,0,0,0,0,1,0,0,0,0,0,0,7587,0,0,13247,50973,0,12735,0,0,0,0,5468,0,0,0,0,0,25611,44054,31272,966,2,0,0,0,0,16945,0,3,21604,0,71301,0,0,0,0,1,3469,0,0,0,8549,14,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes spp.","GG01_004316860",0.946,0.93491124260355,60,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,5,0,0
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Chirolophis","Chirolophis ascanii","GG01_004851361",0.971,0.95906432748538,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Leptoclinus","Leptoclinus maculatus","GG01_000518035",1,0.994082840236686,914497,4121,0,0,0,2,2,28118,0,0,0,0,15823,0,0,0,0,1,41616,0,1,0,0,0,23730,0,18953,0,61358,0,1376,0,26995,26698,58987,0,0,0,0,1,3,0,77037,0,0,0,1,0,0,0,0,0,0,28948,0,1,0,0,0,22509,0,0,3,0,14299,0,0,0,0,0,0,6253,0,308063,1,13,0,24767,0,0,26046,9,9747,0,26369,1,0,0,0,0,62641,2,0,1,0,1,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Triglidae","Chelidonichthys|Eutrigla|Trigloporus","Chelidonichthys cuculus|Eutrigla gurnardus|Trigloporus lastoviza","GG01_002039007",1,1,32578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32578,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Zoarces","Zoarces viviparus","GG01_005233554",0.994,0.935672514619883,25026,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Scophthalmidae","Zeugopterus","Zeugopterus punctatus","GG01_003667348",0.941,0.862068965517241,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Glyptocephalus","Glyptocephalus cynoglossus","GG01_002304063",0.906,0.906432748538012,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,1,0,0,0,18,0,0,21,13,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,16,0,4,0,0,0,0,0,0,0,0,3,0,0,4,0,0,13,0,0,0,27,9,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","GG01_000917475",0.9,0.894736842105263,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Platichthys","Platichthys flesus","GG01_000813188",0.917,0.923976608187134,186,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,10,0,2,0,0,0,0,0,3,0,0,0,10,0,0,1,2,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","GG01_000460942",0.971,0.970588235294118,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,2,0,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Microstomus","Microstomus kitt","GG01_000329342",1,0.946745562130177,312685,0,0,9918,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8758,0,13529,0,0,0,0,0,13960,0,0,0,23127,1,0,4455,0,5308,0,0,1,11620,0,0,0,0,0,0,0,0,0,0,0,0,0,5736,0,0,0,19097,0,0,0,0,9309,0,0,0,0,0,0,0,0,0,0,0,1,22226,0,31965,0,0,0,3,0,6,27207,0,0,0,0,0,3705,1,0,0,75106,27645,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","GG01_000397381",0.913,0.913294797687861,2430200,0,0,12074,5,0,0,0,1,0,0,37375,20651,0,0,0,0,84271,123461,0,19022,0,0,0,229,2,20586,0,0,1,168045,19985,0,188013,108809,14035,0,71860,1,13982,51899,1,0,0,29677,0,2,0,0,0,0,0,0,86332,0,0,0,128011,0,1,1,1,14800,0,74543,0,60773,0,0,0,13161,18181,0,358041,4,187677,1,155512,0,4,0,9,1,2,29270,0,0,78368,0,0,51663,15,0,0,113435,76406,1
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae",NA,NA,"GG01_000460849",0.873563218390805,0.873563218390805,399,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,7,14,0,1,0,0,0,0,0,4,0,0,0,26,3,0,21,17,1,0,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,2,0,14,0,9,0,0,0,1,0,0,214,0,24,0,4,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,7,2,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Scophthalmidae","Zeugopterus","Zeugopterus norvegicus","GG01_000337779",1,0.901162790697674,102440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo salar","GG01_000084213",0.901,0.902298850574713,7003534,127201,26461,277771,34454,221018,0,474993,2,0,196253,3,70678,129394,2,0,0,5,1,0,1,25559,0,0,2,90625,11495,41545,16452,9,45430,5736,2,1,3,0,271011,35692,2,165838,17111,57256,80869,0,39014,0,91549,74527,0,159196,33617,21663,0,28575,255488,2,94723,25722,2,22958,98540,2,222990,2,68269,63110,45641,100442,0,0,75976,15253,0,3,25,84831,985779,5,0,237099,2,19,52596,1,67260,0,654663,0,0,0,2,533665,0,0,55388,372060,0
"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","GG01_001743974",0.971,0.970760233918129,218761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218761,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Scombridae","Scomber","Scomber scombrus","GG01_000003198",1,1,278529,0,0,83671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33404,0,0,0,0,0,0,0,0,0,35516,0,0,1,0,0,0,0,0,0,3,30451,0,25117,0,6,0,18,0,0,0,0,7041,0,0,0,38553,24746,0,0,0,2,0
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes|Hyperoplus","Ammodytes marinus|Hyperoplus lanceolatus|Ammodytes tobianus","GG01_001549965",0.959,0.953488372093023,28927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21156,0,0,0,0,0,0,0,0,0,18,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","GG01_003066055",1,1,52434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa","GG01_003140871",0.939,0.938888888888889,263053,0,0,0,0,26628,0,0,0,0,39161,0,0,0,0,0,0,0,34474,0,0,0,0,0,0,0,0,0,15059,0,0,0,0,0,8024,0,0,0,0,0,9723,0,0,0,15014,0,0,0,0,0,0,0,0,0,0,0,35146,0,0,25609,0,0,0,0,0,4180,0,14227,0,0,0,645,0,0,0,3,0,0,0,0,10330,0,0,0,0,1,0,0,0,0,0,0,0,24828,1,0,0
"Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera acutorostrata","GG01_003066086",1,1,16454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Orcinus","Orcinus orca","GG01_004757001",0.988,0.971098265895954,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Lagenorhynchus","Lagenorhynchus albirostris","GG01_003881473",0.994,0.988304093567251,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Cetacea","Phocoenidae","Phocoena","Phocoena phocoena","GG01_002296517",1,1,12479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380,0,0,0,2056,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7861,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Cetacea","Physeteridae","Physeter","Physeter catodon","GG01_005476550",0.994,0.982248520710059,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus","Microtus agrestis","GG01_003577944",0.994,0.952380952380952,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Echinodermata","Echinoidea",NA,NA,NA,NA,"GG01_001909183",0.66304347826087,0.66304347826087,4315,0,0,0,0,0,0,0,0,0,0,42,0,0,9,0,0,0,4094,0,0,0,0,0,0,0,0,2,0,0,3,0,43,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,57,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,13,0,0,7,0,0,1,0,4,0,0,0,0
"Animalia","Echinodermata","Echinoidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens","GG01_003904224",0.994,0.687830687830688,1341,0,0,0,0,0,0,0,0,0,0,988,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
